"Year","Max.Q","Date","Conc.SWL"
1946,187.457347790014,1946-05-20,1.823
1947,55.5009670193999,1947-01-19,1.433
1948,11.8930643613,1948-03-10,1.768
1949,124.594007594571,1949-10-09,2.713
1950,76.1722455521355,1950-06-06,1.737
1951,24.0692969216785,1951-03-28,1.768
1952,70.5088815705641,1952-04-13,1.859
1953,112.134606835114,1953-05-20,1.798
1954,121.762325603785,1954-07-31,1.494
1955,69.6593769733284,1955-02-07,1.829
1956,23.0498914049957,1956-04-10,1.768
1957,177.829629021342,1957-10-17,2.042
1958,63.4296765935998,1958-01-21,1.676
1959,152.910827502428,1959-04-12,1.676
1960,192.271207174349,1960-06-28,1.768
1961,153.477163900585,1961-06-21,2.012
1962,52.3861168295356,1962-07-01,1.585
1963,60.031658204657,1963-01-22,1.615
1964,70.5088815705641,1964-03-07,1.554
1965,32.8475110931142,1965-11-11,1.792
1966,55.5009670193999,1966-04-16,1.798
1967,28.8831563060142,1967-09-23,2.195
1968,86.6494689180426,1968-05-15,1.798
1969,60.031658204657,1969-02-22,1.798
1970,83.2514505290998,1970-10-26,1.798
1971,30.8653336995642,1971-09-10,2.164
1972,43.8910708571785,1972-03-21,1.676
1973,51.5366122322999,1973-06-23,1.676
1974,55.2177988203213,1974-11-14,1.865
1975,68.5267041770141,1975-06-03,1.96
1977,32.5643428940356,1977-04-24,1.984
1978,56.3504716166356,1978-01-21,1.753
1980,50.120771236907,1980-01-25,1.765
1981,79.8534321401569,1981-08-31,1.865
1982,47.8554256442784,1982-12-15,1.932
1983,44.7405754544142,1983-02-12,1.868
1985,41.0593888663927,1985-02-14,1.871
1986,31.7148382967999,1986-06-21,2.067
1991,45.5900800516499,1991-12-28,1.932
1992,90.330655506064,1992-03-04,1.975
1993,66.2613585843855,1993-06-20,2.347
1994,69.6593769733284,1994-10-18,2.033
1995,48.138593843357,1995-03-18,1.917
1996,43.0415662599427,1996-09-13,1.793
1997,55.5009670193999,1997-10-02,1.959
1998,84.9504597235712,1998-09-11,2.94
1999,41.9088934636285,1999-05-14,2.061
2000,51.2534440332213,2000-11-21,2.14
2001,51.5366122322999,2001-12-18,1.99
2002,58.049480811107,2002-10-29,2.189
2003,50.4039394359856,2003-11-21,2.385
2004,62.8633401954427,2004-11-28,2.075
2005,59.4653218064998,2005-05-11,2.14
2006,67.960367778857,2006-10-16,2.616
2007,65.978190385307,2007-07-11,1.912
2008,54.3682942230856,2008-10-09,2.183
2009,82.4019459318641,2009-04-28,2.062
2010,61.7306673991284,2010-07-13,2.466
2011,49.5544348387499,2011-12-28,2.045
2012,53.5187896258499,2012-01-28,1.97
2013,48.7049302415142,2013-05-03,2.007
2014,54.085126024007,2014-06-04,2.038
2015,75.0395727558212,2015-06-10,2.231
2016,124.594007594571,2016-04-18,2.443
2017,382.27706875607,2017-08-30,2.571
2018,72.7742271631927,2018-12-15,2.026
2019,73.0573953622712,2019-01-05,2.005
2020,72.7742271631927,2020-06-30,2.158
2021,76.7385819502927,2021-06-10,2.172
2022,43.8910708571785,2022-01-09,2.11
