"Date","Discharge","Year","Surge"
1932-05-14,4615.638,1932,1.03193876995913
1933-04-22,3426.333,1933,0.881551556675619
1934-12-02,3398.016,1934,0.571455636245969
1935-01-24,1897.226,1935,0.35689525105384
1936-03-19,12062.957,1936,2.9270002237304
1937-04-28,8778.208,1937,2.4304990656074
1938-12-12,1155.325,1938,0.134304592028713
1939-02-05,3482.966,1939,0.73588289375453
1940-04-22,2817.522,1940,0.524937799283191
1941-04-07,1962.354,1941,0.597971493637467
1942-10-17,11524.938,1942,3.13471342031159
1943-01-01,3341.382,1943,1.07304646989073
1944-05-09,2084.116,1944,0.344911379504322
1945-09-20,3681.184,1945,0.804872774281604
1946-06-04,1673.523,1946,0.507600259373732
1947-03-17,1166.652,1947,0.360822613906423
1948-04-16,2602.314,1948,0.430057202706039
1949-06-20,3313.066,1949,0.562769423766725
1950-12-06,3567.917,1950,0.536778974459774
1951-06-15,2944.947,1951,0.713211496739107
1952-04-29,4134.253,1952,0.783957501414095
1953-03-26,2687.264,1953,0.321533973551653
1954-03-03,3086.531,1954,0.671838538859668
1955-08-20,5861.578,1955,0.97094966940281
1956-04-09,1857.582,1956,0.32609654625195
1957-04-07,1962.354,1957,0.330821817359428
1958-05-07,2313.483,1958,0.477695419270785
1959-06-05,1356.375,1959,0.278534456689643
1960-04-06,3284.749,1960,0.460334474339271
1961-02-21,3114.848,1961,0.450489929113951
1962-03-23,3228.115,1962,0.877998930591697
1963-03-22,3086.531,1963,0.775076092033864
1964-03-06,2593.819,1964,0.732157855815369
1965-03-07,2627.799,1965,0.655004797946058
1966-02-15,2205.879,1966,0.508745149400971
1967-03-09,3936.035,1967,0.775093908210366
1968-05-30,2146.413,1968,0.525791630679301
1969-03-27,835.346,1969,0.270397134749132
1970-04-04,2438.076,1970,0.666707300789884
1971-02-24,2545.68,1971,0.677355694234963
1972-06-24,9457.811,1972,2.17240730656868
1973-12-28,2831.68,1973,0.720761856200852
1974-06-04,1381.86,1974,0.321941572945489
1975-09-27,5266.925,1975,1.29892758959246
1976-10-11,5493.459,1976,1.0822127553648
1977-04-07,2480.552,1977,0.51433024082814
1978-03-16,3964.352,1978,0.662027175010169
1979-02-27,5691.677,1979,1.52977157028497
1980-05-02,1942.532,1980,0.460112735581412
1981-04-15,1526.276,1981,0.496711786683708
1982-06-15,2639.126,1982,0.479392129710722
1983-04-26,3426.333,1983,0.425341430536796
1984-02-16,5918.211,1984,1.36982499380055
1985-11-07,8325.139,1985,1.84823862347666
1986-03-16,3482.966,1986,0.57496917110148
1987-04-19,4360.787,1987,0.888858984240734
1988-05-20,3567.917,1988,0.701870881832765
1989-05-18,2622.136,1989,0.464146439734522
1990-10-25,2392.77,1990,0.374762096527052
1991-01-18,2749.561,1991,0.48399692218833
1992-04-23,2647.621,1992,0.318439624361694
1993-03-06,5068.707,1993,1.04900008394129
1994-03-30,3964.352,1994,0.84974360557837
1995-01-17,2426.75,1995,0.459452713013213
1996-01-21,9259.594,1996,2.22896619566105
1997-11-09,3086.531,1997,0.809693220539791
1998-03-22,3992.669,1998,0.680682872682518
1999-03-20,1279.919,1999,0.116821616190379
2000-02-21,1667.86,2000,0.414451876511629
2001-03-23,1846.255,2001,0.49249242638294
2002-04-24,1390.355,2002,0.404569771925368
2005-03-30,3766.134,2005,0.669430527126673
2006-06-29,2186.057,2006,0.478141716346847
2007-04-17,3171.482,2007,0.360710691324984
2008-05-13,3624.55,2008,0.847855960909409
2009-05-06,3341.382,2009,0.563777845484779
2010-03-15,5465.142,2010,1.39350926284441
2011-04-18,4615.638,2011,1.0122283411454
2012-10-31,3794.451,2012,1.06479298818257
2013-02-01,2602.314,2013,0.681751917728888
2014-05-17,4105.936,2014,0.886346619472842
2015-04-22,1679.186,2015,0.486578746934936
2016-02-05,3086.531,2016,0.617848801317723
